Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON_OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s)
294.4,0,6.6,2.3,49,0,14.5,2,0,0,0,7,656,16.4,15.2,2.3,0.8,90,670,16.4,37.3,2,56.3,2.1,230,1,15,508,0,3040,0,1,628.3,0,76,0,0,0,0,629,1,0,0,0,-0.2,2,20.9,0,-0.1,0,-25.9,1,11
294.4,0,6.6,2.3,48,0,14.1,2,0,0,0,7,672,15.2,14.8,3.1,-1.9,89,670,15.2,36.9,2,56.3,3.5,230,1,15,508,0,3040,0,1,645.8,0,76,0,0,0,0,646,1,0,0,0,-0.2,2,20.6,0,-0.1,0,-25.9,1,12
281.6,0,6.6,3.9,48,0,14.5,2,0,0,0,7,661,15.6,14.1,2,0,89,670,15.6,36.1,2,56.3,2.5,230,1,15,508,0,3040,0,1,633,0,76,0,0,0,0,633.5,1,0,0,0,-0.2,2,20.6,0,-0.1,0,-25.8,1,13
320,0,6.6,3.1,52,0,14.5,2,0,0,0,6.3,651,16,13.3,6.4,-4.5,88,670,16,40,2,56.3,6.9,230,1,15,508,0,3040,0,1,624,0,76,0,0,0,0,624.5,1,0,0,0,-0.2,2,20.6,0,-0.1,0,-25.9,1,14
268.8,0,6.6,0.8,48,0,14.1,2,0,0,0,6.3,649,17.6,13.7,7.3,3.4,88,670,17.6,37.3,2,56.3,7.5,230,1,15,508,0,3040,0,1,620.8,0,76,0,0,0,0,621.5,1,0,0,0,-0.2,2,20.6,0,-0.2,0,-25.9,1,15
307.2,0,6.6,3.1,49,0,14.5,2,0,0,0,6.3,671,16.4,13.7,5.4,0,87,670,16.8,37.6,2,56.3,5.5,230,1,15,508,0,3040,0,1,644.3,0,76,0,0,0,0,645,1,0,0,0,-0.2,2,20.1,0,-0.1,0,-25.9,1,16
294.4,0,6.6,2.3,49,0,14.5,2,0,0,0,6.3,675,16.4,14.1,5.2,-0.8,87,670,16.8,37.6,2,56.6,5.5,230,1,15,508,0,3040,0,1,648.5,0,76,0,0,0,0,649,1,0,0,0,-0.2,2,19.6,0,-0.1,0,-25.9,1,17
307.2,0,6.6,3.1,50,0,14.5,2,0,0,0,6.3,674,16.4,14.5,5.4,-1.9,87,670,16.4,38.4,2,56.6,5.5,230,1,15,508,0,3040,0,1,647.3,0,76,0,0,0,0,647.8,1,0,0,0,-0.2,2,19.5,0,-0.1,0,-25.7,1,18
294.4,0,6.6,2.3,48,0,14.5,2,0,0,0,6.3,679,16,14.5,3.7,-0.8,87,670,16,37.3,2,56.6,3.6,230,1,15,508,0,3040,0,1,651,0,76,0,0,0,0,651.5,1,0,0,0,-0.2,2,19.5,0,-0.1,0,-25.9,1,19
307.2,0,6.6,3.1,48,0,14.5,2,0,0,0,6.3,673,16,14.1,5.1,-0.4,87,670,16,36.9,2,56.6,5.1,230,1,15,508,0,3040,0,1,645.8,0,76,0,0,0,0,646,1,0,0,0,-0.2,2,19.6,0,-0.1,0,-25.6,1,20
294.4,0,6.6,3.1,48,0,14.5,2,0,0,0,6.3,675,16,14.5,4,-1.5,87,670,16,37.3,2,56.6,4,230,1,15,508,0,3040,0,1,648.3,0,76,0,0,0,0,648.8,1,0,0,0,-0.2,2,19.6,0,-0.1,0,-25.9,1,21
307.2,0,6.6,3.1,48,0,14.5,2,0,0,0,6.3,671,16,14.1,2.5,-0.8,87,670,16,36.9,2,56.6,3,230,1,15,508,0,3040,0,1,644.3,0,76,0,0,0,0,644.8,1,0,0,0,-0.2,2,19.6,0,-0.1,0,-25.9,1,22
294.4,0,6.6,3.1,48,0,14.5,2,0,0,0,7,666,16,13.7,3.4,-0.8,87,670,16,36.9,2,56.6,3.8,230,1,15,508,0,3040,0,1,638.8,0,76,0,0,0,0,639.3,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.7,1,23
281.6,0,6.6,3.1,48,0,14.5,2,0,0,0,6.3,671,15.6,13.7,4.6,-0.8,87,670,16,36.5,2,56.6,5.1,230,1,15,508,0,3040,0,1,643.3,0,76,0,0,0,0,643.8,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.9,1,24
294.4,0,6.6,3.1,48,0,14.5,2,0,0,0,7,667,16,13.7,3.6,-0.8,87,670,16,36.9,2,56.6,3.6,230,1,15,508,0,3040,0,1,638.5,0,76,0,0,0,0,639.3,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.9,1,25
294.4,0,6.6,3.9,48,0,14.5,2,0,0,0,7,670,16,13.7,4.4,-0.4,87,670,16,36.5,2,56.6,4.6,230,1,15,508,0,3040,0,1,642.5,0,76,0,0,0,0,643,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.8,1,26
281.6,0,6.6,3.9,48,0,14.5,2,0,0,0,7,669,15.6,13.7,4.3,-0.4,87,670,15.6,36.5,2,56.6,4.7,230,1,15,508,0,3040,0,1,642,0,76,0,0,0,0,642.8,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.8,1,27
294.4,0,6.6,3.9,48,0,14.1,2,0,0,0,7,670,15.6,13.7,3.9,-0.8,87,670,15.6,36.5,2,56.6,4.3,230,1,15,508,0,3040,0,1,643.3,0,76,0,0,0,0,644,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.9,1,28
281.6,0,6.6,3.9,47,0,14.5,2,0,0,0,7,668,15.6,13.7,4.3,-0.8,87,670,15.6,36.5,2,56.6,4.6,230,1,15,508,0,3040,0,1,640.3,0,76,0,0,0,0,640.8,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.9,1,29
281.6,0,6.6,3.9,47,0,14.5,2,0,0,0,7,671,15.6,13.7,5.8,-0.4,87,670,15.6,36.1,2,56.6,5.9,230,1,15,508,0,3040,0,1,644.3,0,76,0,0,0,0,644.8,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.8,1,30
307.2,0,6.6,3.9,48,0,14.5,2,0,0,0,7,668,15.6,13.7,4.9,-1.1,87,670,15.6,36.5,2,56.6,5.1,230,1,15,508,0,3040,0,1,640.8,0,76,0,0,0,0,641.3,1,0,0,0,-0.2,2,19.7,0,-0.1,0,-25.9,1,31
281.6,0,6.6,3.9,48,0,14.5,2,0,0,0,6.3,668,15.2,13.3,-1.3,-1.5,87,670,15.6,36.5,2,56.6,-0.7,230,1,15,508,0,3040,0,1,639,0,76,0,0,0,0,639.8,1,0,0,0,-0.2,1,12.3,0,-0.1,0,-25.9,1,32
268.8,0,6.1,3.9,45,0,14.1,2,0,0,0,7,673,14.1,12.5,4.1,-1.5,87,670,14.1,34.5,2,56.6,4.1,230,1,15,508,0,3040,0,1,647.3,0,76,0,0,0,0,647.5,1,0,0,0,-0.2,1,0.9,0,-0.1,0,-25.7,1,33
256,0,6.1,4.7,45,0,14.1,2,0,0,0,7,660,14.5,12.5,4.8,0.4,87,670,14.5,33.7,2,56.6,5.3,230,1,15,508,0,3040,0,1,633,0,76,0,0,0,0,633.5,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.9,1,34
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7,663,14.5,12.1,5,-0.4,87,670,14.5,33.7,2,56.6,5.4,230,1,15,508,0,3040,0,1,636,0,76,0,0,0,0,636.5,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.9,1,35
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7,665,14.5,11.7,5.3,-0.4,87,670,14.5,33.7,2,56.6,5.2,230,1,15,508,0,3040,0,1,637,0,76,0,0,0,0,637.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.7,1,36
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7,668,14.1,11.7,5,-0.8,87,670,14.5,33.7,2,56.6,5.2,230,1,15,508,0,3040,0,1,640.8,0,76,0,0,0,0,641.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.8,1,37
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7,669,14.1,11.7,5.3,-0.4,87,670,14.1,33.3,2,56.6,5.2,230,1,15,508,0,3040,0,1,642.5,0,76,0,0,0,0,643,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,38
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7,665,14.5,11.7,4.4,-0.4,87,670,14.5,34.1,2,56.6,4.6,230,1,15,508,0,3040,0,1,637.5,0,76,0,0,0,0,638,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.8,1,39
281.6,0,6.1,6.3,45,0,14.1,2,0,0,0,7,668,14.1,11.7,5.5,-0.8,87,670,14.5,33.7,2,56.6,5.9,230,1,15,508,0,3040,0,1,641.3,0,76,0,0,0,0,641.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.7,1,40
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,665,14.5,11.7,4.5,-0.4,87,670,14.5,33.7,2,56.6,4.8,230,1,15,508,0,3040,0,1,637.3,0,76,0,0,0,0,637.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,41
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,670,14.1,11.7,6.2,-0.8,87,670,14.1,33.7,2,56.6,6.4,230,1,15,508,0,3040,0,1,643.8,0,76,0,0,0,0,644,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,42
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,668,14.1,11.7,5.4,-0.8,87,670,14.5,33.7,2,56.6,5.6,230,1,15,508,0,3040,0,1,639.3,0,76,0,0,0,0,639.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.7,1,43
268.8,0,6.1,6.3,44,0,14.1,2,0,0,0,7,673,14.1,11.7,5.1,-0.8,87,670,14.1,33.3,2,56.6,5.4,230,1,15,508,0,3040,0,1,645.5,0,76,0,0,0,0,646,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-26,1,44
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,666,14.1,11.7,5.5,-0.4,87,670,14.5,33.7,2,56.6,5.8,230,1,15,508,0,3040,0,1,638.8,0,76,0,0,0,0,639.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.7,1,45
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,671,14.1,11.7,4.5,-1.1,87,670,14.1,33.7,2,56.6,4.9,230,1,15,508,0,3040,0,1,643.3,0,76,0,0,0,0,643.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,46
268.8,0,6.1,6.3,45,0,14.1,2,0,0,0,7,669,14.1,11.7,4.6,-0.4,87,670,14.1,33.7,2,56.6,4.5,230,1,15,508,0,3040,0,1,640.8,0,76,0,0,0,0,641.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.7,1,47
268.8,0,6.1,6.3,44,0,14.1,2,0,0,0,7,670,14.1,11.7,4.2,-0.8,87,670,14.1,33.3,2,56.6,4.2,230,1,15,508,0,3040,0,1,642.8,0,76,0,0,0,0,643.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,48
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7.8,667,14.1,11.7,4.6,-0.8,87,670,14.1,33.7,2,56.6,4.8,230,1,15,508,0,3040,0,1,640.3,0,76,0,0,0,0,640.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,49
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7.8,669,14.1,11.7,5.2,-0.8,87,670,14.1,33.3,2,56.6,5.7,230,1,15,508,0,3040,0,1,641.8,0,76,0,0,0,0,642.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,50
268.8,0,6.1,4.7,45,0,14.1,2,0,0,0,7.8,666,14.1,11.7,5.4,-0.4,87,670,14.5,33.7,2,56.6,5.5,230,1,15,508,0,3040,0,1,638,0,76,0,0,0,0,638.5,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.8,1,51
268.8,0,6.1,5.5,45,0,14.1,2,0,0,0,7.8,666,14.1,11.7,5,-0.8,87,670,14.5,33.7,2,56.6,5,230,1,15,508,0,3040,0,1,638.3,0,76,0,0,0,0,638.8,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.7,1,52
268.8,0,6.1,4.7,45,0,14.1,2,0,0,0,7.8,668,14.1,11.7,5.5,-0.8,87,670,14.1,33.7,2,56.6,5.8,230,1,15,508,0,3040,0,1,641,0,76,0,0,0,0,641.5,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,53
268.8,0,6.1,4.7,45,0,14.1,2,0,0,0,7.8,670,14.1,11.7,4.9,-0.8,87,670,14.1,33.7,2,56.6,4.8,230,1,15,508,0,3040,0,1,642.5,0,76,0,0,0,0,643.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,54
268.8,0,6.1,4.7,44,0,14.1,2,0,0,0,8.6,671,14.1,11.7,5,-0.8,87,670,14.1,33.3,2,56.6,5.2,230,1,15,508,0,3040,0,1,643.8,0,76,0,0,0,0,644.3,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.9,1,55
268.8,0,6.1,4.7,45,0,14.1,2,0,0,0,8.6,666,14.1,11.7,5.3,-0.4,87,670,14.1,33.7,2,56.6,5.8,230,1,15,508,0,3040,0,1,638.8,0,76,0,0,0,0,639.5,1,0,0,0,-0.2,1,1,0,-0.2,0,-25.8,1,56
268.8,0,6.1,4.7,44,0,14.1,2,0,0,0,8.6,674,13.7,11.7,5,-1.1,87,670,14.1,33.3,2,56.6,5.1,230,1,15,508,0,3040,0,1,646.8,0,76,0,0,0,0,647.3,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.7,1,57
268.8,0,6.1,4.7,44,0,14.1,2,0,0,0,8.6,670,14.1,11.7,4.6,-0.8,87,670,14.1,33.3,2,56.6,5,230,1,15,508,0,3040,0,1,641.8,0,76,0,0,0,0,642.3,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.8,1,58
268.8,0,6.1,3.9,45,0,14.1,2,0,0,0,8.6,667,14.1,11.7,4.8,-0.8,87,670,14.1,33.7,2,56.6,5.1,230,1,15,508,0,3040,0,1,639.8,0,76,0,0,0,0,640,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.8,1,59
268.8,0,6.1,3.9,44,0,14.1,2,0,0,0,8.6,669,14.1,11.7,5.2,-0.8,87,670,14.1,33.3,2,56.6,5.3,230,1,15,508,0,3040,0,1,642,0,76,0,0,0,0,642.5,1,0,0,0,-0.2,1,1,0,-0.1,0,-25.8,1,60
268.8,0,6.1,3.9,45,0,14.1,2,0,0,0,9.4,663,14.1,11.7,5.1,-0.4,87,670,14.5,33.7,2,56.6,5.4,230,1,15,508,0,3040,0,1,635.3,0,76,0,0,0,0,636,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,61
268.8,0,6.1,3.9,45,0,14.1,2,0,0,0,9.4,671,14.1,11.7,5.3,-0.8,87,670,14.1,33.7,2,56.6,5.3,230,1,15,508,0,3040,0,1,644,0,76,0,0,0,0,644.5,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,62
268.8,0,6.1,3.9,44,0,14.1,2,0,0,0,9.4,669,14.1,11.7,5.7,-0.8,87,670,14.1,33.3,2,56.6,5.6,230,1,15,508,0,3040,0,1,641.8,0,76,0,0,0,0,642,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,63
268.8,0,6.1,3.9,44,0,14.1,2,0,0,0,9.4,672,14.1,11.7,4.9,-0.8,87,670,14.1,33.3,2,56.6,4.9,230,1,15,508,0,3040,0,1,644.5,0,76,0,0,0,0,645.3,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.6,1,64
268.8,0,6.1,3.9,44,0,14.1,2,0,0,0,9.4,671,13.7,11.7,4.3,-0.8,87,670,14.1,33.3,2,56.6,4.6,230,1,15,508,0,3040,0,1,643.3,0,76,0,0,0,0,643.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.8,1,65
268.8,0,6.1,3.1,44,0,14.1,2,0,0,0,9.4,668,14.1,11.7,4.1,-0.8,87,670,14.1,33.3,2,56.6,4.4,230,1,15,508,0,3040,0,1,640,0,76,0,0,0,0,640.5,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,66
256,0,6.1,3.1,44,0,14.1,2,0,0,0,9.4,672,13.7,11.7,5,-0.8,87,670,13.7,32.9,2,56.6,5,230,1,15,508,0,3040,0,1,645,0,76,0,0,0,0,645.3,1,0,0,0,-0.2,2,1.2,0,-0.1,0,-25.9,1,67
294.4,0,7.1,3.1,48,0,14.5,2,0,0,0,9.4,655,16,12.1,8.4,0.4,87,670,16,36.9,2,56.3,8.7,230,1,15,508,0,3040,0,1,624.3,14,76,0,0,0,0,624.8,1,0,7,0,-0.2,2,13.8,0,-0.1,0,-25.8,1,68
358.4,0,6.6,1.6,55,0,14.9,2,0,0,0,7.8,692,18,12.1,16.6,-5.3,87,680,18,43.5,2,56.6,17.1,230,1,15,508,0,3040,0,1,278.8,14,76,0,0,0,0,278.3,1,0,7,0,-0.2,1,1.2,0,-0.1,0,-26.8,1,69
396.8,0,7.5,0.8,57,0,14.9,2,0,0,0,7,735,19.9,11.7,19.6,-2.6,87,750,19.9,45.9,2,57,19.6,230,1,15,508,0,3040,0,1,0,14,76,0,0,0,0,0,1,0,7,0,-0.2,1,1,0,-0.1,0,-28.1,1,70
422.4,0,7.5,-0.8,57,0,15.3,2,0,0,0,7,782,20.7,11.7,21.8,-2.3,87,790,20.7,46.3,2,57.8,21.9,230,1,15,508,0,3040,0,1,0,14,76,0,0,0,0,0,1,0,7,0,-0.3,1,1,0,-0.1,0,-28.2,1,71
435.2,0,7.5,-0.8,57,0,15.3,2,0,0,0,7,815,21.1,11.7,22.7,0.4,87,830,21.5,45.9,2,58.6,22.7,230,1,15,508,0,3040,0,1,41,14,76,0.1,0,0,0,42.5,1,0,7,0,-0.4,1,1.1,0,-0.1,0,-29.9,1,72
448,0,8,-0.8,56,0,15.3,2,0,0,0,6.3,835,22.3,11.7,25.2,2.3,87,850,22.3,45.5,2,59,25.7,230,1,15,508,0,3040,0,1,132.8,14,76,1,0.1,0.1,1,134.3,1,0,7,0,-0.5,1,1.1,0,-0.1,128,-180,1,73
460.8,0,8,0,57,0,15.7,2,0,0,0,6.3,853,23,11.7,24.6,1.9,87,860,23,46.3,2,59.8,24.8,230,1,15,508,0,3040,0,1,251,14,76,2.3,0.8,1.1,2.1,252.5,1,0,7,0,-0.5,1,1,0,0,188,-369.5,1,74
473.6,0,8.5,0,57,0,15.7,2,0,0,0,6.3,869,23,11.7,28.2,2.3,87,870,23.4,45.9,2,60.2,28.1,230,1,15,508,0,3040,0,1,350.8,14,76,3.4,2,2,3,352,1,0,7,2,-0.4,1,1.1,0,-0.1,152,-514.7,1,75
499.2,0,8.5,0,57,0,15.7,2,0,0,0,6.3,878,23.4,11.7,28.7,2.6,87,880,23.4,45.9,2,60.5,29.3,230,1,15,508,0,3040,0,1,413.3,14,76,4,2,2.1,3.5,414.3,1,0,7,2,-0.4,1,1.1,0,-0.2,4,-515.7,1,76
486.4,0,8.5,0.8,58,0,16.1,2,0,0,0,6.3,883,23.8,11.7,28,2.3,87,890,23.8,46.7,2,60.5,28.2,230,1,15,508,0,3040,0,1,452.3,14,76,4.5,2,2.1,3.9,453.3,1,0,7,3,-0.4,1,1.1,0,-0.3,0,-515.5,1,77
486.4,0,8.5,0,58,0,16.1,2,0,0,0,6.3,878,23,11.7,22.9,0.8,87,870,23,46.7,2,60.5,23.1,230,1,15,508,0,3040,0,1,491.3,14,76,4.9,2,2.1,4.3,491.8,1,0,7,3,-0.3,2,1.3,0,-0.4,0,-515.4,1,78
448,0,7.5,-0.8,58,0,15.3,2,0,0,0,6.3,807,20.7,11.3,23.1,-2.3,87,780,21.1,46.7,2,58.6,23.2,230,1,15,508,0,3040,0,1,427,14,76,4.3,2,2.1,3.6,425.5,1,0,7,3,0.2,2,5.7,0,-0.6,72,-423.4,1,79
409.6,0,7.1,-0.8,57,0,14.9,2,0,0,0,7,764,19.1,11.3,5.8,-4.9,87,750,19.1,46.3,2,57.4,5.7,230,1,15,508,0,3040,0,1,364.5,1,76,1.3,0.1,0.2,1.3,369.5,1,0,5,0,0.5,1,6.7,0,-0.5,180,-238.1,1,80
396.8,0,7.5,-3.1,58,0,15.3,2,0,0,0,7,753,21.1,11.7,33.1,-1.1,87,760,21.1,46.7,2,57.4,32,230,1,15,508,0,3040,0,1,296,1,76,0.8,0,0,0.6,292,1,0,5,0,0.4,1,1,0,-0.2,224,-11,1,81
588.8,3.1,9.4,-4.7,59,0,16.5,2,0,0,0,5.5,1080,29.3,11.7,39.6,22.9,87,790,29.3,46.3,2,64.5,39.6,230,1,15,508,0,3040,0,1,493.5,1,76,3.1,2.4,2.4,3,498.8,1,0,5,3,0.8,1,1,11.5,0,164,159.1,1,82
652.8,5.1,9.9,-3.1,57,0,16.9,2,0,0,0,4.7,1255,28.9,11.7,38.7,29.6,87,810,28.9,42.4,2.3,68.4,38.7,230,1,15,508,0,3040,0,1,965,1,76,6.1,6,6.2,5.9,969.8,1,0,5,6,0.6,1,1.1,0,0.5,112,223,1,83
665.6,5.9,9.4,-0.8,52,0,16.9,2,0,0,0,4.7,1440,26.6,11.7,28.9,33.8,87,820,26.6,36.1,2,71.9,28.9,230,1,15,508,0,3040,0,1,1308.5,1,76,8.6,8.1,8.1,8.5,1312,1,0,5,8,0.5,1,1,2.5,-0.2,208,12.8,1,84
652.8,5.9,9.4,0,44,0,16.5,2,0,0,0,5.5,1625,23.4,12.5,21,39.8,87,830,23.4,30.2,2,75.4,21,230,1,15,508,0,3040,0,1,1544.5,1,76,10.6,10,10,10.6,1547,1,0,5,10,0.3,1,1,0,-0.1,28,-9.6,1,85
640,5.9,9.4,-1.6,39,0,16.9,2,0,0,0,5.5,1758,21.1,12.5,17.4,41.3,87,840,21.1,27.1,2,77.7,17.4,230,1,15,508,0,3040,0,1,1702,1,76,12,10.1,10.1,11.9,1703.5,1,0,5,11,0.1,1,1,0,-0.7,120,-142.5,1,86
